seed_id,n_samples,predicted_f_dark,observed_floor,within_population_sd
11,8600,0.5893491947682346,0.5838577312958166,0.012322949315856655
11,13000,0.521481826151878,0.5304428591706543,0.00983261689004822
11,19500,0.4924095286604276,0.48468361988542874,0.010369020032465858
11,29200,0.43727479296038263,0.43854302941695555,0.007894692685009565
12,500,0.8187655515115777,0.8256285099309754,0.013238593151393281
12,750,0.8187655515115777,0.8095442108594325,0.010952228375239832
12,1100,0.7888805606789335,0.7960748536105383,0.010477623871396299
12,1650,0.7888805606789335,0.7820344355240518,0.008418712315404477
12,2500,0.7798996584340653,0.7502255877577775,0.014153220170161962
12,3800,0.6830949946377696,0.6973280711664093,0.014392036365814972
12,5700,0.6555650348382679,0.6521973414762855,0.011437981584822544
12,8600,0.606734378770756,0.6085297195909024,0.011037758647086187
12,13000,0.5596247908683555,0.5599899177939262,0.010141691719919873
12,19500,0.5140101707225895,0.5108123752378285,0.010262533101942391
12,29200,0.47065440888022664,0.45175350520901336,0.008110888299054616
13,500,0.8298375555327682,0.8419961792809445,0.023268027079811838
13,750,0.796794800158866,0.8033778659956674,0.01719544647985747
13,1100,0.7831879158897093,0.7728706892104988,0.014281684126271269
13,1650,0.7421541436465262,0.7406737059695027,0.013481375865454342
13,2500,0.7107751602119962,0.7094709036434127,0.010964101056396594
13,3800,0.6758437333867616,0.6766419366666906,0.010735619716271239
13,5700,0.6543954291339859,0.644312000400667,0.010226919939479207
13,8600,0.601100035949229,0.600132132070734,0.01086797391545941
13,13000,0.5383361623821534,0.5465235814704078,0.009497787828313876
13,19500,0.4985744394725364,0.4928662660905504,0.01036409054089202
13,29200,0.43389852345465224,0.4358083886428454,0.010182047940375137
14,500,0.8836358813999663,0.8820871888329357,0.01278954144436559
14,750,0.8836358813999663,0.8567299003752403,0.015559727062380912
14,1100,0.811858836436219,0.8121751551349746,0.014379856866430018
14,1650,0.7626041070583992,0.7697079580650341,0.01584549451896592
14,2500,0.7324321390109538,0.7346599029348114,0.012661544510119353
14,3800,0.6901223244424098,0.6989865471330551,0.011554769161424611
