seed_id,lambda,active_coordinates,c_i,n_samples,evidence,power
1,0.34,3,0.16666666666666663,1796,4.000099093333334,0.23142857142857143
1,0.34,3,0.16666666666666663,2784,6.200599040000001,0.5314285714285715
1,0.34,5,0.2,262,0.7002400640000003,0.08285714285714285
1,0.34,5,0.2,412,1.1011408640000004,0.09428571428571429
1,0.34,5,0.2,636,1.6998193920000007,0.15714285714285714
1,0.34,5,0.2,973,2.6005098560000013,0.2057142857142857
1,0.34,5,0.2,1497,4.000989984000002,0.32285714285714284
1,0.34,5,0.2,2320,6.200599040000002,0.5285714285714286
1,0.34,8,0.21875,239,0.6986531650000003,0.07142857142857142
1,0.34,8,0.21875,376,1.0991363600000004,0.14
1,0.34,8,0.21875,582,1.7013227700000007,0.10571428571428572
1,0.34,8,0.21875,889,2.598755915000001,0.19714285714285715
1,0.34,8,0.21875,1368,3.9989854800000013,0.3514285714285714
1,0.34,8,0.21875,2121,6.200181435000002,0.3742857142857143
1,0.4,2,0.12500000000000006,219,0.7008000000000004,0.12
1,0.4,2,0.12500000000000006,344,1.1008000000000007,0.10857142857142857
1,0.4,2,0.12500000000000006,531,1.699200000000001,0.11142857142857143
1,0.4,2,0.12500000000000006,812,2.5984000000000016,0.24285714285714285
1,0.4,2,0.12500000000000006,1250,4.000000000000002,0.2542857142857143
1,0.4,2,0.12500000000000006,1937,6.198400000000004,0.4228571428571429
1,0.4,3,0.16666666666666663,164,0.6997333333333333,0.1
1,0.4,3,0.16666666666666663,258,1.1008,0.15714285714285714
1,0.4,3,0.16666666666666663,398,1.698133333333333,0.16
1,0.4,3,0.16666666666666663,609,2.5984,0.24
1,0.4,3,0.16666666666666663,938,4.002133333333333,0.30857142857142855
1,0.4,3,0.16666666666666663,1453,6.199466666666666,0.48857142857142855
1,0.4,5,0.2,137,0.7014400000000002,0.06571428571428571
1,0.4,5,0.2,215,1.1008000000000002,0.1
1,0.4,5,0.2,332,1.6998400000000005,0.15714285714285714
1,0.4,5,0.2,508,2.6009600000000006,0.13142857142857142
1,0.4,5,0.2,781,3.9987200000000014,0.3342857142857143
1,0.4,5,0.2,1211,6.200320000000001,0.4257142857142857
1,0.4,8,0.21875,125,0.7000000000000002,0.08
1,0.4,8,0.21875,196,1.0976000000000001,0.14
1,0.4,8,0.21875,304,1.7024000000000004,0.10571428571428572
1,0.4,8,0.21875,464,2.5984000000000003,0.19714285714285715
1,0.4,8,0.21875,714,3.9984000000000006,0.2914285714285714
1,0.4,8,0.21875,1107,6.199200000000001,0.4514285714285714
1,0.48,2,0.12500000000000006,105,0.6967296000000002,0.15714285714285714
1,0.48,2,0.12500000000000006,166,1.1014963200000003,0.13142857142857142
1,0.48,2,0.12500000000000006,256,1.6986931200000004,0.1657142857142857
1,0.48,2,0.12500000000000006,392,2.6011238400000005,0.22
1,0.48,2,0.12500000000000006,603,4.001218560000001,0.30857142857142855
1,0.48,2,0.12500000000000006,934,6.197575680000002,0.4514285714285714
1,0.48,3,0.16666666666666663,80,0.7077887999999998,0.09714285714285714
1,0.48,3,0.16666666666666663,124,1.0970726399999995,0.13428571428571429
