direction_kind,direction_label,direction_seed,geometry,amp,p,n,lambda_eff,labeled_power,unrestricted_cov_power,feature_independent_power,labeled_threshold,unrestricted_cov_threshold,feature_independent_threshold,trials
k16,16-sparse,9,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.4875,0.4625,0.07427696854482177,0.02480099193201118,0.025847107015081514,400
k16,16-sparse,10,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.5,0.44,0.09152779416822687,0.02629641601582489,0.027253503466972293,400
k16,16-sparse,11,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.4275,0.3575,0.08594788531764302,0.025204683285821,0.02638333416148854,400
k32,32-sparse,0,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.4825,0.51,0.08076552881855266,0.026296777885789643,0.022969601316077542,400
k32,32-sparse,1,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.465,0.46,0.0733147029031533,0.02322708194523362,0.02347875046067754,400
k32,32-sparse,2,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.5425,0.465,0.07969937295685534,0.02626383722817784,0.02912665535929238,400
k32,32-sparse,3,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.31,0.315,0.0830718601781419,0.026241993301355734,0.02523882845857655,400
k32,32-sparse,4,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.5275,0.52,0.08291796049727125,0.01675340147502411,0.016711525707833973,400
k32,32-sparse,5,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.4525,0.435,0.07547982868364497,0.025319310034034325,0.025056305893264543,400
k32,32-sparse,6,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.5475,0.5375,0.08208779418452933,0.022774481767675075,0.021073875486121885,400
k32,32-sparse,7,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.4525,0.425,0.07766545408471784,0.016387721104179142,0.016634271880553064,400
k32,32-sparse,8,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.48,0.4275,0.07478992914996674,0.030148414496811077,0.03214815300924013,400
k32,32-sparse,9,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.535,0.5175,0.0850840784097595,0.02408354790527762,0.024602070311212795,400
k32,32-sparse,10,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.49,0.4825,0.0862453245190759,0.027876397586308523,0.027379700026345963,400
k32,32-sparse,11,0.96875,0.7,0.05,8192,0.15256146302392357,1.0,0.4275,0.42,0.08073454170280811,0.022961620356900966,0.023054519084795173,400
dense,dense,0,0.996105936425101,0.7,0.05,8192,0.15256146302392357,1.0,0.4775,0.4725,0.07963402726243388,0.017262605643096233,0.017519339139536884,400
dense,dense,1,0.9960026315444676,0.7,0.05,8192,0.15256146302392357,1.0,0.52,0.5025,0.08825917652438776,0.028934531195864394,0.029575046490785163,400
dense,dense,2,0.9961464030804483,0.7,0.05,8192,0.15256146302392357,1.0,0.5,0.51,0.08160573612795949,0.017997942411029654,0.01770131675452765,400
dense,dense,3,0.9960928418364922,0.7,0.05,8192,0.15256146302392357,1.0,0.465,0.4675,0.08174017701261957,0.027590215393709202,0.02766794402803475,400
dense,dense,4,0.995994316143126,0.7,0.05,8192,0.15256146302392357,1.0,0.5275,0.515,0.08408835718320946,0.01756846290094669,0.018036393150078992,400
dense,dense,5,0.9958551454057718,0.7,0.05,8192,0.15256146302392357,1.0,0.4775,0.47,0.09756521794206179,0.016009997988813956,0.016451445624600484,400
dense,dense,6,0.9961087637543065,0.7,0.05,8192,0.15256146302392357,1.0,0.5225,0.5175,0.08331202169718911,0.0206355360259536,0.02085971162989175,400
dense,dense,7,0.9963501201194787,0.7,0.05,8192,0.15256146302392357,1.0,0.4875,0.49,0.07593928277038155,0.019785731985713328,0.019898815006166193,400
dense,dense,8,0.9962962110898397,0.7,0.05,8192,0.15256146302392357,1.0,0.4425,0.44,0.07861866356391996,0.015630397692407535,0.015954734021100158,400
dense,dense,9,0.9963000008253606,0.7,0.05,8192,0.15256146302392357,1.0,0.4475,0.45,0.08126796659733622,0.03105856783669257,0.03147256625227753,400
dense,dense,10,0.9962262990185161,0.7,0.05,8192,0.15256146302392357,1.0,0.4775,0.475,0.08776248315476474,0.01411961578623662,0.014012623994260013,400
dense,dense,11,0.9957693817952791,0.7,0.05,8192,0.15256146302392357,1.0,0.5425,0.545,0.08643907268318629,0.02410601794092675,0.024043287869154023,400
pc_orth,PC-orth,0,0.9960757056291564,0.7,0.05,8192,0.15256146302392357,1.0,0.45,0.455,0.08703750116318738,0.031952211488492886,0.03175236908310392,400
pc_orth,PC-orth,1,0.996213114619083,0.7,0.05,8192,0.15256146302392357,1.0,0.455,0.4425,0.07881517205939106,0.025126617694544513,0.026037460820309267,400
pc_orth,PC-orth,2,0.9952734364642911,0.7,0.05,8192,0.15256146302392357,1.0,0.53,0.5175,0.08284094357737287,0.03676002545258027,0.037453129690374724,400
pc_orth,PC-orth,3,0.9960537562024866,0.7,0.05,8192,0.15256146302392357,1.0,0.43,0.42,0.08873237080658003,0.013980838321205677,0.01489731778161165,400
pc_orth,PC-orth,4,0.9958783212844995,0.7,0.05,8192,0.15256146302392357,1.0,0.4075,0.4,0.08873974078569306,0.013853206029328068,0.014070282597047809,400
pc_orth,PC-orth,5,0.995450152442696,0.7,0.05,8192,0.15256146302392357,1.0,0.4125,0.425,0.08718501318238478,0.01845094493098507,0.0180398053307764,400
pc_orth,PC-orth,6,0.9961314465552207,0.7,0.05,8192,0.15256146302392357,1.0,0.5175,0.5225,0.0831860436342243,0.020089629659342637,0.020237082879924238,400
pc_orth,PC-orth,7,0.9959829244783835,0.7,0.05,8192,0.15256146302392357,1.0,0.4975,0.495,0.07605132923750273,0.021593001716925266,0.02138122555346681,400
pc_orth,PC-orth,8,0.9962295527500061,0.7,0.05,8192,0.15256146302392357,1.0,0.455,0.4575,0.08347923630690937,0.021845116923706085,0.022097861414390903,400
pc_orth,PC-orth,9,0.9960145218179838,0.7,0.05,8192,0.15256146302392357,1.0,0.53,0.545,0.08067624454237574,0.02523583892955904,0.02470504466563644,400
